food,calories,protein,carbs,fat
apple,52,0.3,14,0.2
avocado,160,2,8.5,14.7
banana,89,1.1,23,0.3
rice,130,2.7,28,0.3
thon,130,29,0,1
bread,265,9,49,3.2
broccoli,34,2.8,7,0.4
tomato_sauce,24,1.3,5.3,0.2
butter,717,0.9,0.1,81
cabbage,25,1.3,5.8,0.1
carrot,41,0.9,10,0.2
chicken,239,27,0,14
chilli,40,2,9,0.4
coriander,23,2.1,3.7,0.5
cucumber,15,0.7,3.6,0.1
egg,155,13,1.1,11
eggplant,25,1,6,0.2
fish,205,22,0,12
garlic,149,6.4,33,0.5
ginger,80,1.8,18,0.8
honey,304,0.3,82,0
lemon,29,1.1,9,0.3
lettuce,15,1.4,2.9,0.2
meat,250,26,0,17
milk,42,3.4,5,1
mint,70,3.8,15,0.9
mushroom,22,3.1,3.3,0.3
onion,40,1.1,9,0.1
orange,47,0.9,12,0.1
peas,81,5,14,0.4
pepper,20,0.9,4.6,0.2
pineapple,50,0.5,13,0.1
potato,77,2,17,0.1
cheese,402,25,1.3,33
shrimp,99,24,0.2,0.3
mayonnaise,680,1,0.6,75
tomato,18,0.9,3.9,0.2
zucchini,17,1.2,3.1,0.3
vegetable_oil,884,0,0,100
chocolate,546,4.9,58,31
strawberry,32,0.7,7.7,0.3
yogurt,59,10,3.6,0.4
pasta,131,5,25,1.1
